"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"912794ET7","Bill","13-Week","12/27/1983","12/29/1983","03/29/1984","","",""
"912794FD1","Bill","26-Week","12/27/1983","12/29/1983","06/28/1984","","",""
"912794FL3","Bill","52-Week","12/22/1983","12/29/1983","12/27/1984","","",""
"912827QG0","Note","2-Year","12/21/1983","01/03/1984","12/31/1985","","Semi-Annual","10.875%"
"912794EE0","Bill","13-Week","12/19/1983","12/22/1983","03/22/1984","","",""
"912794FC3","Bill","26-Week","12/19/1983","12/22/1983","06/21/1984","","",""
"912794ES9","Bill","13-Week","12/12/1983","12/15/1983","03/15/1984","","",""
"912794EH3","Bill","26-Week","12/12/1983","12/15/1983","06/14/1984","","",""
"912794ER1","Bill","13-Week","12/05/1983","12/08/1983","03/08/1984","","",""
"912794FB5","Bill","26-Week","12/05/1983","12/08/1983","06/07/1984","","",""
"912794EB6","Bill","17-Day","12/01/1983","12/05/1983","12/22/1983","","",""
"912794EM2","Bill","62-Day","11/30/1983","12/02/1983","02/02/1984","","",""
"912794EX8","Bill","153-Day","11/30/1983","12/02/1983","05/03/1984","","",""
"912827QF2","Note","5-Year 2-Month","11/29/1983","12/01/1983","02/15/1989","","Semi-Annual","11.375%"
"912794EQ3","Bill","13-Week","11/28/1983","12/01/1983","03/01/1984","","",""
"912794FA7","Bill","26-Week","11/28/1983","12/01/1983","05/31/1984","","",""
"912794FK5","Bill","52-Week","11/23/1983","12/01/1983","11/29/1984","","",""
"912827QE5","Note","2-Year","11/22/1983","11/30/1983","11/30/1985","","Semi-Annual","10.500%"
"912794ED2","Bill","13-Week","11/21/1983","11/25/1983","02/23/1984","","",""
"912794EZ3","Bill","26-Week","11/21/1983","11/25/1983","05/24/1984","","",""
"912794EP5","Bill","13-Week","11/14/1983","11/17/1983","02/16/1984","","",""
"912794EG5","Bill","26-Week","11/14/1983","11/17/1983","05/17/1984","","",""
"912810DF2","Bond","29-Year 9-Month","11/10/1983","11/15/1983","08/15/2013","","Semi-Annual","12.000%"
"912827QD7","Note","10-Year","11/09/1983","11/15/1983","11/15/1993","","Semi-Annual","11.750%"
"912827QC9","Note","3-Year","11/07/1983","11/15/1983","11/15/1986","","Semi-Annual","11.000%"
"912794EN0","Bill","13-Week","11/07/1983","11/10/1983","02/09/1984","","",""
"912794EY6","Bill","26-Week","11/07/1983","11/10/1983","05/10/1984","","",""
"912794FJ8","Bill","52-Week","11/01/1983","11/03/1983","11/01/1984","","",""
"912794EM2","Bill","13-Week","10/31/1983","11/03/1983","02/02/1984","","",""
"912794EX8","Bill","26-Week","10/31/1983","11/03/1983","05/03/1984","","",""
"912794EC4","Bill","13-Week","10/24/1983","10/27/1983","01/26/1984","","",""
"912794EW0","Bill","26-Week","10/24/1983","10/27/1983","04/26/1984","","",""
"912827QB1","Note","2-Year","10/19/1983","10/31/1983","10/31/1985","","Semi-Annual","10.500%"
"912794EL4","Bill","13-Week","10/17/1983","10/20/1983","01/19/1984","","",""
"912794EF7","Bill","26-Week","10/17/1983","10/20/1983","04/19/1984","","",""
"912794EK6","Bill","13-Week","10/11/1983","10/13/1983","01/12/1984","","",""
"912794EV2","Bill","26-Week","10/11/1983","10/13/1983","04/12/1984","","",""
"912794EJ9","Bill","13-Week","10/03/1983","10/06/1983","01/05/1984","","",""
"912794EU4","Bill","26-Week","10/03/1983","10/06/1983","04/05/1984","","",""
"912794FH2","Bill","52-Week","09/29/1983","10/06/1983","10/04/1984","","",""
"912794DG6","Bill","13-Week","09/26/1983","09/29/1983","12/29/1983","","",""
"912794ET7","Bill","26-Week","09/26/1983","09/29/1983","03/29/1984","","",""
